ResponseId,Country,DevType,wexp_bin,salary_filtered,wexp_order,uses_ai
8587,Austria,"Developer, full-stack",15-20,100962.0,5.0,1.0
8588,Canada,Data scientist or machine learning specialist,5-10,,3.0,1.0
8589,Germany,"Developer, desktop or enterprise applications",10-15,69814.0,4.0,1.0
8590,Italy,"Developer, full-stack",15-20,45111.0,5.0,0.0
8591,United States of America,Engineering manager,10-15,,4.0,0.0
8592,Canada,"Developer, full-stack",10-15,72693.0,4.0,0.0
8593,United States of America,"Developer, full-stack",3-5,90000.0,2.0,1.0
8594,Israel,"Developer, desktop or enterprise applications",,90000.0,,0.0
8595,India,Project manager,15-20,,5.0,0.0
8596,United States of America,"Developer, back-end",5-10,,3.0,1.0
8597,Italy,"Developer, back-end",3-5,42962.0,2.0,0.0
8598,Singapore,"Developer, back-end",5-10,88699.0,3.0,1.0
8599,United States of America,"Developer, full-stack",,,,0.0
8600,United States of America,Developer Experience,,,,0.0
8601,India,"Developer, full-stack",30+,8614.0,7.0,0.0
8602,Spain,"Developer, full-stack",,64444.0,,1.0
8603,United States of America,Academic researcher,,25000.0,,0.0
8604,United States of America,"Developer, embedded applications or devices",30+,160000.0,7.0,1.0
8605,Ukraine,"Developer, front-end",,,,1.0
8606,United States of America,"Developer, full-stack",15-20,200000.0,5.0,1.0
8607,Czech Republic,Engineering manager,10-15,95557.0,4.0,0.0
8608,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",20-30,,6.0,0.0
8609,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,82802.0,,1.0
8610,Spain,"Developer, full-stack",1-3,25777.0,1.0,0.0
8611,Brazil,Data engineer,3-5,23945.0,2.0,1.0
8612,United States of America,"Developer, full-stack",15-20,150000.0,5.0,0.0
8613,Romania,"Developer, back-end",,30074.0,,0.0
8614,Canada,"Developer, mobile",10-15,69058.0,4.0,1.0
8615,Belarus,"Developer, back-end",,100000.0,,1.0
8616,United States of America,"Developer, full-stack",5-10,125000.0,3.0,0.0
8617,Ukraine,System administrator,,,,0.0
8618,Spain,"Developer, full-stack",10-15,48333.0,4.0,1.0
8619,South Africa,"Developer, back-end",,36052.0,,0.0
8620,"Iran, Islamic Republic of...","Developer, front-end",,,,1.0
8621,Philippines,"Developer, mobile",5-10,,3.0,1.0
8622,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
8623,United States of America,"Developer, full-stack",,,,1.0
8624,United States of America,Engineering manager,20-30,,6.0,0.0
8625,United States of America,System administrator,,50000.0,,1.0
8626,United States of America,Student,,,,1.0
8627,United States of America,Student,,,,0.0
8628,Slovakia,"Developer, full-stack",1-3,35444.0,1.0,0.0
8629,France,"Developer, full-stack",20-30,80555.0,6.0,0.0
8630,India,"Developer, back-end",5-10,,3.0,0.0
8631,Italy,"Developer, mobile",30+,53703.0,7.0,1.0
8632,"Iran, Islamic Republic of...","Developer, front-end",10-15,,4.0,1.0
8633,France,"Developer, QA or test",,,,0.0
8634,Philippines,"Developer, front-end",10-15,34724.0,4.0,1.0
8635,Switzerland,"Developer, back-end",,20055.0,,0.0
8636,Germany,Cloud infrastructure engineer,10-15,110628.0,4.0,1.0
8637,United States of America,"Developer, full-stack",20-30,175000.0,6.0,1.0
8638,Panama,"Developer, full-stack",,28000.0,,1.0
8639,Germany,Student,,,,0.0
8640,South Africa,Academic researcher,,,,0.0
8641,Greece,"Developer, full-stack",,,,0.0
8642,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,38216.0,,0.0
8643,Portugal,"Senior Executive (C-Suite, VP, etc.)",10-15,85925.0,4.0,1.0
8644,India,"Developer, full-stack",5-10,,3.0,1.0
8645,Czech Republic,Student,,,,1.0
8646,United States of America,Other (please specify):,3-5,104615.0,2.0,1.0
8647,Turkey,Cloud infrastructure engineer,,96666.0,,0.0
8648,Germany,Cloud infrastructure engineer,30+,69814.0,7.0,0.0
8649,Ukraine,"Developer, back-end",,,,0.0
8650,United States of America,"Developer, full-stack",5-10,95000.0,3.0,1.0
8651,France,DevOps specialist,,60147.0,,0.0
8652,United States of America,Other (please specify):,,44000.0,,0.0
8653,Germany,"Developer, full-stack",10-15,96666.0,4.0,1.0
8654,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,0.0
8655,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",5-10,49681.0,3.0,1.0
8656,United States of America,"Developer, full-stack",,100000.0,,0.0
8657,Germany,"Developer, back-end",,,,1.0
8658,Hungary,"Developer, back-end",5-10,47557.0,3.0,0.0
8659,Germany,Student,,,,1.0
8660,Ukraine,"Developer, back-end",,,,0.0
8661,Netherlands,"Developer, full-stack",,107406.0,,0.0
8662,France,"Developer, front-end",5-10,39740.0,3.0,1.0
8663,Bolivia,"Developer, full-stack",3-5,20231.0,2.0,0.0
8664,Switzerland,System administrator,,155984.0,,0.0
8665,Spain,Designer,,12889.0,,1.0
8666,France,"Developer, front-end",,,,0.0
8667,Italy,"Developer, full-stack",,64444.0,,0.0
8668,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",10-15,52229.0,4.0,1.0
8669,Netherlands,"Developer, back-end",5-10,47366.0,3.0,1.0
8670,Argentina,"Developer, full-stack",,130593.0,,1.0
8671,Indonesia,"Developer, full-stack",5-10,11040.0,3.0,1.0
8672,United States of America,"Developer, full-stack",15-20,135000.0,5.0,0.0
8673,Canada,"Engineer, site reliability",20-30,,6.0,1.0
8674,Belgium,Other (please specify):,15-20,,5.0,1.0
8675,United States of America,"Developer, back-end",15-20,,5.0,1.0
8676,United States of America,"Developer, front-end",3-5,,2.0,0.0
8677,Germany,Database administrator,10-15,63370.0,4.0,1.0
8678,Germany,"Developer, embedded applications or devices",15-20,85925.0,5.0,1.0
8679,Germany,"Developer, full-stack",20-30,97740.0,6.0,0.0
8680,Russian Federation,"Developer, back-end",,15798.0,,1.0
8681,Germany,"Developer, back-end",15-20,120295.0,5.0,1.0
8682,Philippines,"Developer, QA or test",,28256.0,,1.0
8683,United States of America,Student,,,,1.0
8684,Germany,Data or business analyst,,16111.0,,1.0
8685,Brazil,"Developer, full-stack",5-10,28533.0,3.0,1.0
8686,Canada,Data engineer,5-10,71239.0,3.0,1.0
8687,Germany,"Developer, full-stack",,,,0.0
8688,Sweden,"Developer, desktop or enterprise applications",,68677.0,,0.0
8689,Nigeria,"Developer, front-end",3-5,15600.0,2.0,0.0
8690,United States of America,"Developer, full-stack",20-30,165000.0,6.0,1.0
8691,United States of America,"Developer, full-stack",15-20,87000.0,5.0,0.0
8692,France,"Developer, full-stack",,,,1.0
8693,Slovakia,"Developer, full-stack",10-15,,4.0,0.0
8694,Ukraine,"Developer, back-end",,,,1.0
8695,Singapore,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
8696,France,"Developer, back-end",15-20,,5.0,0.0
8697,United States of America,"Developer, back-end",,90000.0,,1.0
8698,India,"Developer, mobile",10-15,71781.0,4.0,1.0
8699,Lithuania,"Developer, back-end",15-20,54777.0,5.0,0.0
8700,Morocco,"Developer, back-end",5-10,6030.0,3.0,1.0
8701,Ukraine,"Developer, full-stack",,50000.0,,0.0
8702,United States of America,"Developer, full-stack",20-30,175000.0,6.0,1.0
8703,Ireland,"Developer, full-stack",,,,1.0
8704,India,"Developer, full-stack",,,,1.0
8705,Morocco,"Developer, mobile",5-10,,3.0,1.0
8706,Germany,"Developer, full-stack",15-20,107406.0,5.0,0.0
8707,Portugal,,,,,1.0
8708,Slovakia,Student,,,,0.0
8709,Netherlands,Student,,,,0.0
8710,France,Other (please specify):,,,,0.0
8711,Germany,"Developer, back-end",,,,1.0
8712,United States of America,"Developer, full-stack",,135000.0,,1.0
8713,United Kingdom of Great Britain and Northern Ireland,Engineering manager,10-15,,4.0,1.0
8714,Poland,"Developer, back-end",5-10,49493.0,3.0,1.0
8715,France,Product manager,,,,1.0
8716,United States of America,"Developer, full-stack",,110000.0,,0.0
8717,United States of America,"Developer, full-stack",,71000.0,,1.0
8718,Hong Kong (S.A.R.),Other (please specify):,20-30,104955.0,6.0,1.0
8719,Spain,Other (please specify):,,,,1.0
8720,Germany,"Developer, back-end",10-15,69814.0,4.0,0.0
8721,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,63694.0,,1.0
8722,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",20-30,,6.0,0.0
8723,Colombia,"Developer, back-end",20-30,90000.0,6.0,0.0
8724,United States of America,"Developer, desktop or enterprise applications",10-15,,4.0,0.0
8725,United States of America,"Developer, full-stack",30+,,7.0,0.0
8726,Russian Federation,"Developer, back-end",,47059.0,,1.0
8727,Pakistan,"Developer, full-stack",1-3,18000.0,1.0,1.0
8728,Canada,"Developer, back-end",1-3,50885.0,1.0,0.0
8729,Germany,"Developer, back-end",10-15,,4.0,1.0
8730,Portugal,Student,,,,1.0
8731,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",5-10,,3.0,0.0
8732,United States of America,"Developer, game or graphics",,,,1.0
8733,Italy,Data or business analyst,,48333.0,,1.0
8734,Germany,"Developer, full-stack",5-10,,3.0,0.0
8735,Kenya,"Developer, full-stack",3-5,,2.0,1.0
8736,Canada,"Developer, mobile",,116309.0,,0.0
8737,Malaysia,"Developer, full-stack",,,,0.0
8738,Brazil,"Developer, game or graphics",3-5,,2.0,0.0
8739,United States of America,Other (please specify):,15-20,,5.0,1.0
8740,Canada,Other (please specify):,15-20,,5.0,0.0
8741,Spain,"Developer, back-end",20-30,54777.0,6.0,0.0
8742,Costa Rica,"Developer, front-end",15-20,58737.0,5.0,0.0
8743,Slovakia,Student,,,,1.0
8744,France,"Developer, front-end",15-20,85925.0,5.0,0.0
8745,United States of America,"Developer, full-stack",5-10,100000.0,3.0,0.0
8746,Portugal,"Developer, back-end",15-20,75184.0,5.0,1.0
8747,Ukraine,Student,,,,1.0
8748,Austria,Student,,,,0.0
8749,Spain,Academic researcher,,,,1.0
8750,United States of America,"Developer, full-stack",5-10,101000.0,3.0,1.0
8751,Canada,"Developer, full-stack",,159924.0,,1.0
8752,Russian Federation,"Developer, full-stack",,22409.0,,0.0
8753,Nepal,Engineering manager,,,,1.0
8754,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,,,0.0
8755,Bangladesh,"Developer, full-stack",,,,1.0
8756,United States of America,"Developer, full-stack",20-30,130000.0,6.0,0.0
8757,Germany,"Developer, full-stack",20-30,59670.0,6.0,0.0
8758,Spain,Engineering manager,5-10,31148.0,3.0,0.0
8759,United States of America,"Developer, full-stack",5-10,102000.0,3.0,0.0
8760,Russian Federation,Data engineer,1-3,,1.0,0.0
8761,Switzerland,"Developer, game or graphics",5-10,133700.0,3.0,1.0
8762,Canada,Student,,,,0.0
8763,Germany,Student,1-3,15466.0,1.0,0.0
8764,Armenia,"Engineer, site reliability",,,,1.0
8765,Peru,"Developer, full-stack",,30367.0,,1.0
8766,France,"Developer, front-end",,,,0.0
8767,Italy,"Developer, desktop or enterprise applications",10-15,32222.0,4.0,1.0
8768,United States of America,"Developer, back-end",30+,,7.0,1.0
8769,United States of America,"Developer, front-end",,200000.0,,1.0
8770,United Kingdom of Great Britain and Northern Ireland,,,,,0.0
8771,Canada,Hardware Engineer,3-5,74147.0,2.0,1.0
8772,United States of America,Student,,,,1.0
8773,United Kingdom of Great Britain and Northern Ireland,Student,,,,0.0
8774,Hong Kong (S.A.R.),"Developer, full-stack",,,,1.0
8775,Hungary,"Developer, desktop or enterprise applications",5-10,48916.0,3.0,0.0
8776,Germany,"Developer, full-stack",5-10,64444.0,3.0,1.0
8777,United Kingdom of Great Britain and Northern Ireland,Data or business analyst,,87898.0,,1.0
8778,Brazil,"Developer, full-stack",15-20,,5.0,1.0
8779,Germany,"Developer, full-stack",,,,0.0
8780,United States of America,"Developer, back-end",30+,130000.0,7.0,0.0
8781,Ukraine,Cloud infrastructure engineer,,7800.0,,1.0
8782,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
8783,Germany,"Developer, full-stack",5-10,51555.0,3.0,0.0
8784,India,"Developer, mobile",5-10,21534.0,3.0,1.0
8785,Argentina,,,,,0.0
8786,United States of America,"Developer, full-stack",5-10,,3.0,1.0
8787,Germany,"Developer, back-end",10-15,,4.0,1.0
8788,United States of America,"Developer, back-end",,130000.0,,0.0
8789,United States of America,Other (please specify):,,138000.0,,1.0
8790,United Kingdom of Great Britain and Northern Ireland,Database administrator,10-15,72611.0,4.0,0.0
8791,India,"Developer, full-stack",1-3,5742.0,1.0,1.0
8792,Uruguay,"Developer, full-stack",20-30,,6.0,0.0
8793,Canada,Engineering manager,10-15,69785.0,4.0,1.0
8794,Spain,"Developer, back-end",20-30,50481.0,6.0,1.0
8795,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,70063.0,,1.0
8796,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
8797,United States of America,"Developer, full-stack",30+,195000.0,7.0,1.0
8798,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,,,0.0
8799,United States of America,Data engineer,10-15,,4.0,1.0
8800,United States of America,"Developer, front-end",5-10,,3.0,0.0
8801,United Kingdom of Great Britain and Northern Ireland,Student,,,,1.0
8802,Mexico,"Developer, front-end",10-15,43127.0,4.0,1.0
8803,India,Other (please specify):,3-5,10169.0,2.0,1.0
8804,South Africa,"Developer, full-stack",,,,0.0
8805,Netherlands,Other (please specify):,,,,0.0
8806,Canada,Data scientist or machine learning specialist,,58154.0,,1.0
8807,United States of America,"Developer, front-end",10-15,,4.0,1.0
8808,Germany,Student,,,,0.0
8809,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,178343.0,,0.0
8810,United States of America,"Developer, full-stack",,,,0.0
8811,United States of America,Data scientist or machine learning specialist,,,,0.0
8812,India,"Developer, back-end",3-5,19142.0,2.0,1.0
8813,Canada,System administrator,,,,0.0
8814,United States of America,"Developer, QA or test",,,,1.0
8815,Afghanistan,"Developer, back-end",30+,,7.0,0.0
8816,India,Other (please specify):,10-15,,4.0,0.0
8817,Ethiopia,"Developer, full-stack",,12000.0,,1.0
8818,United States of America,"Developer, front-end",3-5,117253.0,2.0,1.0
8819,Finland,"Developer, full-stack",10-15,,4.0,1.0
8820,United States of America,"Developer, full-stack",5-10,,3.0,0.0
8821,India,"Developer, full-stack",3-5,6580.0,2.0,1.0
8822,United States of America,Engineering manager,,,,1.0
8823,United States of America,"Developer, back-end",5-10,134672.0,3.0,0.0
8824,United States of America,"Developer, full-stack",,75000.0,,1.0
8825,Ghana,"Developer, full-stack",3-5,31999.0,2.0,1.0
8826,United States of America,Data engineer,20-30,110000.0,6.0,0.0
8827,United Kingdom of Great Britain and Northern Ireland,Project manager,10-15,,4.0,1.0
8828,United States of America,Cloud infrastructure engineer,10-15,163000.0,4.0,0.0
8829,Argentina,"Developer, back-end",,,,0.0
8830,Nigeria,Data scientist or machine learning specialist,,,,1.0
8831,United States of America,Cloud infrastructure engineer,5-10,,3.0,1.0
8832,Germany,"Developer, embedded applications or devices",,105258.0,,1.0
8833,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,,,1.0
8834,India,"Developer, full-stack",,,,1.0
8835,Belgium,Student,,,,1.0
8836,United States of America,"Developer, full-stack",3-5,84500.0,2.0,1.0
8837,Belgium,Data engineer,,,,1.0
8838,Guatemala,"Developer, full-stack",,26993.0,,1.0
8839,Canada,"Developer, back-end",5-10,,3.0,1.0
8840,United States of America,"Developer, back-end",,,,1.0
8841,Italy,System administrator,20-30,76258.0,6.0,1.0
8842,Slovakia,Student,,,,1.0
8843,Spain,"Developer, full-stack",15-20,102036.0,5.0,1.0
8844,Brazil,"Developer, full-stack",,,,1.0
8845,Brazil,"Developer, back-end",5-10,91379.0,3.0,0.0
8846,Canada,Engineering manager,20-30,,6.0,0.0
8847,Germany,Research & Development role,5-10,64444.0,3.0,0.0
8848,United States of America,Cloud infrastructure engineer,10-15,110000.0,4.0,1.0
8849,United States of America,Student,,,,1.0
8850,Thailand,"Developer, full-stack",,,,0.0
8851,Ukraine,Student,,,,1.0
8852,India,Student,,,,1.0
8853,Colombia,Data or business analyst,,14383.0,,0.0
8854,Portugal,"Developer, mobile",5-10,36518.0,3.0,1.0
8855,Germany,"Developer, front-end",10-15,,4.0,0.0
8856,Canada,Data engineer,1-3,,1.0,0.0
8857,United States of America,"Developer, full-stack",20-30,,6.0,0.0
8858,Sweden,"Developer, full-stack",15-20,45784.0,5.0,1.0
8859,Russian Federation,"Developer, desktop or enterprise applications",<1,,0.0,0.0
8860,United States of America,"Developer, full-stack",15-20,111000.0,5.0,1.0
8861,United Kingdom of Great Britain and Northern Ireland,Student,,,,1.0
8862,United States of America,"Developer, desktop or enterprise applications",5-10,165000.0,3.0,0.0
8863,Italy,"Developer, full-stack",30+,75184.0,7.0,0.0
8864,Bulgaria,"Developer, full-stack",,54923.0,,1.0
8865,Ukraine,Research & Development role,1-3,,1.0,1.0
8866,United States of America,"Developer, full-stack",20-30,160000.0,6.0,1.0
8867,United States of America,"Developer, full-stack",5-10,150000.0,3.0,1.0
8868,United States of America,"Developer, full-stack",10-15,,4.0,1.0
8869,United States of America,"Developer, back-end",20-30,167979.0,6.0,1.0
8870,Israel,"Developer, full-stack",,97143.0,,1.0
8871,United Kingdom of Great Britain and Northern Ireland,"Developer, desktop or enterprise applications",30+,,7.0,0.0
8872,Canada,"Developer, desktop or enterprise applications",10-15,107586.0,4.0,0.0
8873,Russian Federation,"Developer, full-stack",,,,1.0
8874,Nepal,Other (please specify):,,,,0.0
8875,Argentina,"Developer, back-end",5-10,,3.0,1.0
8876,Poland,"Developer, full-stack",,16630.0,,0.0
8877,United Kingdom of Great Britain and Northern Ireland,Data engineer,,,,1.0
8878,Germany,"Developer, full-stack",,137480.0,,1.0
8879,Ukraine,Data or business analyst,,,,1.0
8880,United States of America,"Developer, back-end",20-30,145000.0,6.0,1.0
8881,United States of America,"Developer, full-stack",,180000.0,,1.0
8882,Canada,Research & Development role,3-5,69422.0,2.0,1.0
8883,Canada,Other (please specify):,20-30,,6.0,1.0
8884,Slovakia,Student,,,,0.0
8885,India,"Developer, back-end",,,,0.0
8886,Netherlands,Other (please specify):,30+,,7.0,1.0
8887,Brazil,"Developer, front-end",,,,1.0
8888,United States of America,"Developer, front-end",,60000.0,,1.0
8889,India,"Developer, AI",20-30,,6.0,1.0
8890,United States of America,Data engineer,20-30,170000.0,6.0,0.0
8891,Spain,"Developer, back-end",10-15,59073.0,4.0,0.0
8892,Bangladesh,DevOps specialist,,,,1.0
8893,Germany,"Developer, full-stack",5-10,74970.0,3.0,0.0
8894,Argentina,"Developer, back-end",,14411.0,,0.0
8895,Ukraine,"Developer, mobile",3-5,,2.0,1.0
8896,Poland,"Developer, back-end",5-10,71270.0,3.0,1.0
8897,United States of America,"Developer, full-stack",5-10,,3.0,1.0
8898,Netherlands,"Developer, game or graphics",,,,1.0
8899,United States of America,"Developer, embedded applications or devices",20-30,,6.0,0.0
8900,Canada,"Developer, embedded applications or devices",,,,0.0
8901,Brazil,"Developer, full-stack",5-10,16784.0,3.0,0.0
8902,United States of America,Other (please specify):,30+,185000.0,7.0,1.0
8903,United States of America,"Developer, QA or test",,,,1.0
8904,Canada,Scientist,,,,0.0
8905,Turkey,"Developer, back-end",,,,1.0
8906,"Iran, Islamic Republic of...",Blockchain,3-5,85536.0,2.0,0.0
8907,Poland,"Developer, back-end",5-10,81663.0,3.0,1.0
8908,United States of America,Data engineer,20-30,190000.0,6.0,1.0
8909,United States of America,"Developer, embedded applications or devices",1-3,79000.0,1.0,0.0
8910,United States of America,"Developer, full-stack",10-15,,4.0,0.0
8911,Australia,"Developer, full-stack",10-15,99099.0,4.0,1.0
8912,United States of America,"Developer, full-stack",30+,120000.0,7.0,1.0
8913,United States of America,Other (please specify):,,,,0.0
8914,Brazil,"Developer, full-stack",,27973.0,,0.0
8915,France,"Developer, full-stack",15-20,,5.0,0.0
8916,United Kingdom of Great Britain and Northern Ireland,"Developer, mobile",5-10,101910.0,3.0,1.0
8917,United States of America,"Developer, back-end",10-15,190000.0,4.0,0.0
8918,India,"Developer, mobile",5-10,,3.0,0.0
8919,Canada,"Developer, full-stack",10-15,152655.0,4.0,1.0
8920,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
8921,Spain,"Developer, desktop or enterprise applications",,52629.0,,1.0
8922,Algeria,Student,,,,1.0
8923,Brazil,"Developer, back-end",,14919.0,,1.0
8924,United Kingdom of Great Britain and Northern Ireland,"Senior Executive (C-Suite, VP, etc.)",,191082.0,,0.0
8925,United States of America,"Developer, full-stack",,69000.0,,1.0
8926,United States of America,"Developer, embedded applications or devices",15-20,112000.0,5.0,0.0
8927,Hungary,"Developer, back-end",,54351.0,,0.0
8928,Germany,"Developer, desktop or enterprise applications",3-5,51448.0,2.0,0.0
8929,United States of America,Student,,,,1.0
8930,Norway,"Developer, back-end",3-5,70193.0,2.0,1.0
8931,India,"Developer, back-end",,29909.0,,1.0
8932,Poland,"Developer, back-end",,,,0.0
8933,Brazil,"Developer, front-end",,,,1.0
8934,Sweden,"Engineer, site reliability",,95384.0,,1.0
8935,United States of America,Other (please specify):,,,,0.0
8936,Russian Federation,"Developer, back-end",,,,0.0
8937,United States of America,"Developer, full-stack",10-15,170000.0,4.0,0.0
8938,India,"Developer, mobile",,,,1.0
8939,Brazil,"Developer, desktop or enterprise applications",,,,0.0
8940,India,Student,,,,1.0
8941,Pakistan,Data scientist or machine learning specialist,1-3,4738.0,1.0,1.0
8942,Canada,Other (please specify):,,,,0.0
8943,India,"Developer, full-stack",,5982.0,,1.0
8944,Uruguay,Research & Development role,20-30,,6.0,1.0
8945,Russian Federation,Data or business analyst,,,,0.0
8946,Mexico,"Developer, back-end",3-5,35041.0,2.0,1.0
8947,India,"Developer, back-end",10-15,,4.0,1.0
8948,United States of America,"Developer, desktop or enterprise applications",30+,150000.0,7.0,0.0
8949,Russian Federation,"Developer, full-stack",,,,0.0
8950,Italy,"Developer, full-stack",,46185.0,,0.0
8951,Sudan,"Developer, full-stack",5-10,18665.0,3.0,0.0
8952,United States of America,"Developer, full-stack",,,,0.0
8953,Mexico,"Developer, back-end",3-5,30453.0,2.0,0.0
8954,United States of America,"Developer, desktop or enterprise applications",5-10,92000.0,3.0,0.0
8955,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",20-30,,6.0,1.0
8956,Nigeria,"Developer, back-end",,,,1.0
8957,Ireland,Student,,,,1.0
8958,Hungary,Data scientist or machine learning specialist,,,,0.0
8959,Germany,"Developer, game or graphics",,,,1.0
8960,Switzerland,"Developer, full-stack",5-10,120330.0,3.0,0.0
8961,Germany,"Developer, full-stack",,85925.0,,1.0
8962,United States of America,"Developer, desktop or enterprise applications",,,,1.0
8963,Brazil,Data or business analyst,10-15,,4.0,0.0
8964,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,,,0.0
8965,Singapore,Student,,,,1.0
8966,"Iran, Islamic Republic of...","Senior Executive (C-Suite, VP, etc.)",5-10,85536.0,3.0,1.0
8967,Canada,"Developer, full-stack",20-30,67604.0,6.0,0.0
8968,Russian Federation,Scientist,,,,0.0
8969,India,"Developer, AI",,,,1.0
8970,Russian Federation,"Developer, mobile",5-10,,3.0,0.0
8971,Poland,"Developer, back-end",,49493.0,,1.0
8972,Ireland,"Developer, full-stack",,193331.0,,1.0
8973,United States of America,"Developer, front-end",5-10,,3.0,1.0
8974,United States of America,Data scientist or machine learning specialist,30+,160000.0,7.0,1.0
8975,United States of America,"Developer, front-end",10-15,,4.0,1.0
8976,United States of America,"Developer, back-end",15-20,173000.0,5.0,0.0
8977,Belgium,"Developer, QA or test",10-15,141776.0,4.0,1.0
8978,Russian Federation,Engineering manager,5-10,,3.0,0.0
8979,United States of America,Other (please specify):,5-10,,3.0,0.0
8980,United Kingdom of Great Britain and Northern Ireland,"Developer, mobile",5-10,,3.0,1.0
8981,United Kingdom of Great Britain and Northern Ireland,Data scientist or machine learning specialist,10-15,123566.0,4.0,0.0
8982,Canada,"Developer, mobile",,87231.0,,0.0
8983,France,Student,,,,0.0
8984,United States of America,Other (please specify):,20-30,75000.0,6.0,1.0
8985,United States of America,"Developer, full-stack",,123000.0,,1.0
8986,United States of America,"Developer, full-stack",1-3,82000.0,1.0,1.0
8987,Russian Federation,Data scientist or machine learning specialist,,,,1.0
8988,Mexico,Data engineer,15-20,64691.0,5.0,0.0
8989,United Kingdom of Great Britain and Northern Ireland,"Developer, desktop or enterprise applications",,76433.0,,0.0
8990,Mexico,"Developer, full-stack",,12938.0,,0.0
8991,Canada,Student,,,,1.0
8992,United States of America,"Developer, mobile",5-10,205000.0,3.0,1.0
8993,Sweden,"Developer, game or graphics",,,,1.0
8994,United States of America,Engineering manager,15-20,99000.0,5.0,1.0
8995,San Marino,"Developer, desktop or enterprise applications",,,,0.0
8996,Ukraine,"Developer, front-end",3-5,,2.0,1.0
8997,United Kingdom of Great Britain and Northern Ireland,Student,,,,1.0
8998,Ireland,,,,,1.0
8999,Pakistan,Student,,,,1.0
9000,Netherlands,Other (please specify):,10-15,68740.0,4.0,0.0
9001,United States of America,Engineering manager,10-15,,4.0,0.0
9002,United States of America,Student,,,,0.0
9003,Italy,"Developer, back-end",10-15,26852.0,4.0,0.0
9004,Poland,"Developer, back-end",,71270.0,,0.0
9005,United States of America,Cloud infrastructure engineer,,130000.0,,0.0
9006,United States of America,"Developer, game or graphics",15-20,121000.0,5.0,1.0
9007,United States of America,Academic researcher,1-3,82251.0,1.0,0.0
9008,Belgium,Data engineer,15-20,,5.0,0.0
9009,United States of America,Student,,,,1.0
9010,Chile,"Developer, back-end",,58490.0,,1.0
9011,United States of America,"Developer, full-stack",5-10,139000.0,3.0,1.0
9012,United States of America,Cloud infrastructure engineer,15-20,165000.0,5.0,1.0
9013,Ghana,Student,,,,0.0
9014,United Kingdom of Great Britain and Northern Ireland,Research & Development role,1-3,111655.0,1.0,1.0
9015,Greece,Other (please specify):,,,,1.0
9016,India,"Developer, full-stack",3-5,10947.0,2.0,0.0
9017,United States of America,"Developer, full-stack",10-15,163000.0,4.0,0.0
9018,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,43312.0,,1.0
9019,United States of America,Engineering manager,15-20,187000.0,5.0,1.0
9020,Norway,"Developer, desktop or enterprise applications",10-15,,4.0,0.0
9021,Poland,"Developer, full-stack",20-30,98986.0,6.0,1.0
9022,Brazil,"Developer, full-stack",5-10,15665.0,3.0,1.0
9023,United States of America,Data scientist or machine learning specialist,10-15,135000.0,4.0,0.0
9024,Serbia,Data engineer,15-20,73401.0,5.0,0.0
9025,Chile,Data scientist or machine learning specialist,,21663.0,,0.0
9026,Romania,"Developer, full-stack",1-3,19161.0,1.0,1.0
9027,United Kingdom of Great Britain and Northern Ireland,Engineering manager,,,,0.0
9028,United States of America,"Developer, full-stack",15-20,175000.0,5.0,1.0
9029,Switzerland,Student,,,,1.0
9030,Philippines,"Developer, full-stack",,7524.0,,1.0
9031,India,Educator,15-20,,5.0,0.0
9032,United States of America,"Developer, back-end",,125000.0,,1.0
9033,France,"Developer, front-end",,69814.0,,0.0
9034,United States of America,"Developer, full-stack",1-3,22464.0,1.0,1.0
9035,Brazil,Data engineer,5-10,22378.0,3.0,1.0
9036,United States of America,"Developer, full-stack",10-15,138000.0,4.0,1.0
9037,Romania,"Developer, back-end",10-15,86309.0,4.0,1.0
9038,United States of America,Engineering manager,15-20,130000.0,5.0,1.0
9039,India,"Senior Executive (C-Suite, VP, etc.)",,,,0.0
9040,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
9041,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",15-20,,5.0,0.0
